"SAMN08707421"	"SAMN08707428"	"SAMN08707431"	"SAMN08707434"	"SAMN08707436"	"SAMN08707439"	"SAMN08707426"
"SRP135559.OTU180"	0.000383223334043006	0.00134524801552081	0.00299067651622657	0.00220597309638405	0.000239693192713327	0.000906673938237099	0.00134524801552081
"SRP135559.OTU181"	0.0014903129657228	0.000173529338853218	0.000179042718266336	0.00015426385289399	0.000612549270267391	0.000521939629200748	0.000521939629200748
"SRP135559.OTU184"	0.0008088879668043	0.000289215564755364	0.00220156231349717	0.0014192274466247	7.98977309044424e-05	5.45367782398255e-05	0.000145125059942959
"SRP135559.OTU185"	0.000574835001064509	0.000768487072064255	0.00138592326361719	0.00077131926446995	0.00117183338659849	0.000934479597562879	0.000208222912092072
"SRP135559.OTU220"	8.51607408984458e-05	0.00055364122396027	0.00103763125389303	0.00103763125389303	0.000532651539362949	0.00297907151135047	0.000706695944070064
"SRP135559.OTU227"	0.00208643815201192	0.00329705743821116	0.000185673930053978	0.00124953720844131	0.00170448492596144	0.000995296202876815	0.0015864146429261
"SRP135559.OTU246"	8.51607408984458e-05	0.000173529338853218	0.000238723624355114	0.000200543008762187	5.32651539362949e-05	0.000279500988479106	0.000706695944070064
"SRP135559.OTU297"	0.000127741111347668	0.000173529338853218	0.000464184825134945	0.000555349870418363	0.000532651539362949	0.000579453268798146	0.000405484992319215
"SRP135559.OTU304"	0.000979348520332126	0.000645018378482099	0.00104110025065981	0.000539923485128964	0.000426121231490359	0.000238598404799237	0.000561570884127105
"SRP135559.OTU307"	0.000533286634712413	8.26330185015329e-05	0.000775851779154122	0.00117240528199432	0.000533286634712413	0.000102256459199673	0.000290250119885919
"SRP135559.OTU362"	0.00251224185650415	0.000471008205458737	0.000152517871115768	0.000833024805627546	0.000878875039948866	0.000969533555731013	0.000969533555731013
"SRP135559.OTU483"	0.000851607408984458	0.00048371715839013	0.000450922401559661	0.000339380476366778	0.000292958346649622	0.00048371715839013	0.000119885919083314
