"","SAMN08707421","SAMN08707422","SAMN08707423","SAMN08707424","SAMN08707425","SAMN08707426","SAMN08707427","SAMN08707428","SAMN08707429","SAMN08707430","SAMN08707431","SAMN08707432","SAMN08707433","SAMN08707434","SAMN08707435","SAMN08707436","SAMN08707437","SAMN08707438","SAMN08707439","SAMN08707440","SAMN08707441"
"SRP135559.OTU48",0,0.00588538664563298,0.000123870712008853,0,0.00301210109419183,0.000543726211978226,0.011143314011593,0,0.000615020697811946,0.00250957493049462,0.0239547406093909,0.0318645468187093,0.000456705152755855,0.0142313569224316,0.00406041186699503,0,0.00191745863518781,0.000131028071204398,0.000106305228888446,0.000144391589992058,8.52426676083952e-05
"SRP135559.OTU49",0,0,0,0,0.025809227742944,0.00348109770197554,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420821267276855,0.0280570151671061
"SRP135559.OTU50",0,0.0917998968540485,0.00618527755297537,0,0,0,0.000279832100739556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRP135559.OTU51",0.00675827889164226,0.00261657009374147,0.00177548020546022,0,0,0,0,0.00688899573575893,0.0041632170313424,0,0.0371727170573602,0,9.61484532117589e-05,0.00871857866195284,0,0.0111963190184049,0,0,0.0249418643279516,0,0
"SRP135559.OTU52",0.000163837064039812,0.00207050329156934,0.00141212611690092,0.0010682584084051,0.0118552083882186,0.00346859824882661,0,0,0,0,0,0.00164638554582845,0.0260321937070837,0,0.00022067455798886,0,0.0213570029075645,0.00303236393358749,0.00012623745930503,0.0082944946695438,0.00108988839299305
"SRP135559.OTU53",0.00147453357635831,0,0,0,0.00188805170627184,0.0157805596005175,0,0,0,0,0,0,0,0,0,5.11247443762781e-05,0,0.00521616512032745,0.00776692578566208,0.0183858624589888,0.0209636074696932
"SRP135559.OTU54",0.00149501320936329,0,0.00211406015161775,0.00112332327481774,0,0.000293737148999731,0,0,0,0,0,0,0.0752922512359082,0,0,0,0.00021614988251208,0.000293253302219366,0.000172745996943725,0,0.000140041525356649
"SRP135559.OTU55",0.00253947449261709,0,0.00238657571803723,0,0.00582222456399178,0.00100620597848844,0,0.0179082360545129,0.0217149615612064,0.00100875070735568,0,0.00222353177038086,0.000224346390827438,0.0262156574886898,0,0.00897239263803681,0.007418821773963,0.00441127839721472,0,0.00397076872478161,0.00174138592400007
"SRP135559.OTU56",0,0,0,0,0.00958076470484922,0.0266925821995288,0,0,0,0,0,0,0,0,0.0357404514118758,0,0,0,0,0,0
"SRP135559.OTU57",0.000184316697044789,0.00100112247064891,0.000338579946157531,0,0.00151044136501748,0.0036373408663371,0.00296821906855886,0,0.00108811354228267,0.0126626918061558,0.0165890475912105,0.00722951586544595,0.000112173195413719,0.0112952032836984,0.0115986547678945,7.66871165644172e-05,0.00416262838257135,0,0.000298983456248754,0.000320870199982352,0.000602787435230795
"SRP135559.OTU58",0,0,0,0,0,0,0,0.0390245055923827,0.0821289178001183,0,0,0,0,0,0,0,0,0,0.00582021128164242,0,0
"SRP135559.OTU59",0.00106494091625878,0.0132952097806632,0.00209754405668324,0,0,0,0.000139916050369778,0.00633724550520616,0.00175044352454169,0,0,0,0,0.00356532941846182,0,0.00309304703476483,0,0.00715038902858284,0.0279914955816889,0,0
"SRP135559.OTU60",0.0141514264064388,0,0.0142451318810181,0,0.0109067917171611,0.00481228946233602,0.0225864481311213,0.000646335984361822,0.00118273211117682,0,0,0,0,0,0,0.00838445807770961,0,0.00242713903326241,0,0.00394670345978293,0.00243550478881129
"SRP135559.OTU61",0.00948207008130414,0.0083730242999727,0.0109749450839843,0,0.00028979398282312,0.000518727305680376,0.000709574255446732,0.00606925253608052,0.00704908338261384,0.00227173939786604,0,0.00804359580323566,0.000288445359635277,0.00383497618120262,0.00314240570576137,0.00161042944785276,0,0.000343168757916279,0.00169423958540961,0.00349748517980764,0.00134561639581824
"SRP135559.OTU62",0,0,0,0,0.00061471450901874,0.00508727743161237,0,0,0.000354819633353046,0.0103909524082898,0,0.011129809298737,0.000248383504130377,0.000898822542469365,0.00113868071922252,0.00028118609406953,0,0,0.00708258587469271,0.000641740399964704,0.0123114767074411
"SRP135559.OTU63",0,0,0,0.078225149225788,0,0,0,0,0,0.00203390386523747,0,0,0,0,0,0,0,0,0,0,0
